id,famous_tname,gname
240,PlusDesign,銀飾、珠寶等商品
241,富蘭克林,財務與投資經理服務等
242,COOLWATER,香水等商品
243,RICS,提供土地、房地產等測量、估價及相關財金環境議題之研究及分析報告、專業人員培訓等服務
244,獅頭,提供土地、房地產等測量、估價及相關財金環境議題之研究及分析報告、專業人員培訓等服務
245,BabyBoss,旅行袋等商品
246,寶咔PATATA,零食等商品
247,ROCKSTAR,提神飲料、服飾等商品
248,ROCKSTARENERGYDRINK,提神飲料、服飾等商品
249,五星雙R,提神飲料、服飾等商品
250,HCG,衛浴設備相關商品
251,金興發,生活百貨、五金百貨、文具等商品
252,CROWN,飯店、休閒娛樂等服務
253,涵碧樓,飯店、賓館等，會場出租、宴會廳出租、商務中心會議室之出租，餐廳、咖啡廳等服務。
254,涵碧樓,不動產租售、買賣、租賃之仲介，建築物之營建代建及園景、室內裝潢工程施工，建築物之設計、土木建築工程之設計、室內設計服務
255,HCG,衛浴設備等商品
256,ROCKSTAR,提神飲料等商品
257,ROCKSTARENERGYDRINK,提神飲料等商品
258,五星雙R,提神飲料等商品
259,HCG,衛浴設備等商品
260,BOSS,香水等商品
261,BOSSHUGOBOSS,香水等商品
262,TODS,皮包、手提袋、行李箱、皮飾配件等商品
263,Vinellipse,衣服、冠帽、皮件、旅行袋、傘具、眼鏡、鐘錶及化粧品等商品
264,Vinoval,衣服、冠帽、皮件、旅行袋、傘具、眼鏡、鐘錶及化粧品等商品
265,HCG,衛浴設備等商品
266,LONGINES,鐘錶及計時儀器等商品
267,RICS,不動產測量與管理等服務
268,獅頭,不動產測量與管理等服務
269,LOREALSALONEMOTION,企業組織諮詢，廣告，網路線上廣告，美髮美容企業之專業諮詢」服務
270,GUCCI,腰帶等商品
271,BMW,汽車等商品
272,iDrive,車輛控制系統等商品
273,APPLE,手機等商品
274,北大,高等教育服務
275,北大,高等教育服務
276,大長今,「大長今」劇及其周邊商品
277,BurberryCheck,手錶等
278,BURBERRY,手錶等
279,EquestrianKnightDevice,手錶等
280,好市多,零售批發服務
281,COSTCO,零售批發服務
282,MOMO,方向盤、汽車及賽車用零配件等商品
283,KUGA,汽車等商品
284,OSRAM,燈泡等商品
285,OSRAM,燈泡等商品
286,OSRAM,燈泡等商品
287,OSRAMdesign,燈泡等商品
288,TTL,酒等商品
289,TTL台灣菸酒,酒等商品
290,SEIKO,鐘錶、計時儀器等相關商品
291,SUZUKI,音樂教育等知識或技術之傳授、指導等服務
292,BURBERRYSCHECK格紋,衣服、皮包、香水等商品
293,Corrida,能量飲料等商品
294,RICS,不動產測量與管理等服務
295,獅頭,不動產測量與管理等服務
296,BURBERRYSCHECK經典格紋,衣物、配件等商品
297,BURBERRYSCHECKBlack&White黑白格紋,衣物、配件等商品
298,BURBERRYSCHECK經典格紋,衣物、配件等商品
299,BURBERRYSCHECKBlack&White黑白格紋,衣物、配件等商品
300,POLOPLAYERSYMBOL,領帶、衣服等商品、零售服務
301,POLO,領帶、衣服等商品、零售服務
302,BLUNT,雨傘、雨具類商品
303,PUMA,鞋子、包包、襪子、衣服等商品
304,RICS,不動產測量與管理等服務
305,LANDROVERLogo,汽車等商品
306,LANDROVER,汽車等商品
307,RANGEROVER,汽車等商品
308,REGENT,餐廳、旅館等相關服務
309,麗晶,餐廳、旅館等相關服務
310,CSBC,造船工程設計等
311,HunterLogo,靴鞋等
312,LVdevice,旅行袋、背包、手提包等商品
313,LVCircle,旅行袋、背包、手提包等商品
314,CHANEL&CCmonogram,鑰匙圈等
315,REGENT,餐廳、旅館等服務
316,麗晶,餐廳、旅館等服務
317,REGENT,餐廳、旅館等服務
318,麗晶,餐廳、旅館等服務
319,REGENT,餐廳、旅館等服務
320,麗晶,餐廳、旅館等服務
321,GENIUS,手工具商品
322,LONG,電池相關商品
323,HPandDesign,電腦、印表機及週邊商品、零組件等商品及相關之服務
324,HP,電腦、印表機及週邊商品、零組件等商品及相關之服務
325,帝寶DEPO,車燈，霧燈等
326,DEPO,車燈
327,DEPO光形,汽車、機車等，車燈、霧燈等
328,REGENT,餐廳、旅館等服務
329,麗晶,餐廳、旅館等服務
330,REGENT,餐廳、旅館等服務
331,麗晶,餐廳、旅館等服務
332,BALL,鐘錶商品
333,GG,公事包、手提箱、旅行及手提袋等商品
334,Choc恰女生,雜誌等商品
335,台糖,砂糖、方糖
336,福樂,鮮牛乳、合成牛乳
337,幸福空間,家具等，床單等，壁紙等商品，廣告企劃等，各種書刊雜誌文獻之出版發行等，各種書刊編輯等服務
338,Choc恰女生,雜誌等商品
339,SIEMENS,電動剃刀、電髮剪等商品
340,西門子,電動剃刀、電髮剪等商品
341,Choc恰女生,雜誌等商品
342,FUJITSU,半導體、電腦及周邊應用裝置、通訊裝置、電子裝置、軟體等商品，及政府機關、流通業、製造業、醫療業等資訊和通訊技術方面的整體解決方案服務
343,Choc恰女生,雜誌等商品
344,台灣高鐵TaiwanHighSpeedRail,資料夾等商品
345,StayReal,服飾等商品
346,VALENTINOGARAVANIandVLogo,衣服及其配飾、皮包、靴鞋、皮帶、錶、眼鏡和香水等產品
347,VALENTINO,衣服及其配飾、皮包、靴鞋、皮帶、錶、眼鏡和香水等產品
348,VLogo&VALENTINO,衣服及其配飾、皮包、靴鞋、皮帶、錶、眼鏡和香水等產品
349,R.E.D.VALENTINO,衣服及其配飾、皮包、靴鞋、皮帶、錶、眼鏡和香水等產品
350,Vinoval,衣服及其配飾、皮包、靴鞋、皮帶、錶、眼鏡和香水等產品
351,Vinellipse,衣服及其配飾、皮包、靴鞋、皮帶、錶、眼鏡和香水等產品
352,RICS,不動產測量與管理等服務
353,獅頭,不動產測量與管理等服務
354,KUGA,汽車等商品
355,POLOREDLabel,衣飾、領帶等商品
356,PIAGET,手錶等商品
357,KAWASAKI,車輛、機械、工程建設等商品或有關服務
358,XEON,電腦等商品
359,三井,投資及代理食料等商品進出口服務
360,三井物產,投資及代理食料等商品進出口服務
361,POLOandPOLOPLAYERDesign,衣飾、領帶等商品
362,保羅POLO,衣飾、領帶等商品
363,IXO,鋰電池起子機商品
364,Choc恰女生,雜誌等商品
365,DesignFinaBox,社群網站服務
366,Quanta,電腦相關商品、服務
367,KENZO,衣服、靴鞋、冠帽及其相關商品
368,Bikertopia,車隊服務及舉辦娛樂、運動、文化等活動之相關服務
369,BIKERTOPIA,車隊服務及舉辦娛樂、運動、文化等活動之相關服務
370,香奈兒,髮型設計、燙髮等
371,香芮CHANEL&DEVICE,香水、香精
372,CHANEL,鐘錶及其組件
373,CHANEL,衣服
374,ＣＨＡＮＥＬ,皮帶、皮包、手提包、皮夾、錢包、背包、皮箱、手提箱袋、鑰匙包
375,香奈兒,化粧品，人體用肥皂等
376,香奈兒,衣服，領巾，頭巾，服飾用皮帶
377,LOWA,鞋類商品
378,LOWAincolors,鞋等商品
379,LOWANATURELINEword,鞋等商品
380,Choc恰女生,雜誌等商品
381,ESPRIQUE,粉底霜等商品
382,CHANEL,香水等商品以及保健、美容等服務
383,香奈兒,香水等商品以及保健、美容等服務
384,香奈兒CHANEL,香水等商品以及保健、美容等服務
385,玉珍齋,糖果、餅乾等
386,玉珍齋鳳黃酥,米果、月餅等
387,BOSS,香水等商品
388,BOSSHUGOBOSS,香水等商品
389,BOSS,香水等商品
390,BOSSHUGOBOSS,香水等商品
391,BOSS,香水等商品
392,BOSSHUGOBOSS,香水等商品
393,EINK,含有電泳顯示材料、電敏材料等、或微機械裝置懸浮液之平板電子視覺顯示器
394,EINK,含有電泳顯示材料、電敏材料或微機械裝置之懸浮液
395,instagram,電信通訊等服務
396,ESPRIQUE,粉餅等商品
397,ESPRIQUE,粉餅等商品
398,ESPRIQUE,粉餅等商品
399,ESPRIQUE,粉餅等商品
400,BOSS,香水等商品
401,BOSSHUGOBOSS,香水等商品
402,facebook,社群網站服務
403,ESPRIQUE,粉餅等商品
404,CAMEL,菸品商品
405,CAMELStylizedwithCamelDevice,菸品商品
406,CameldeviceIX,菸品商品
407,CAMELstylizedIII,菸品商品
408,富蘭克林,財務與投資經理服務等
409,BOSS,香水等商品
410,BOSSHUGOBOSS,香水等商品
411,PUMA,鞋子等商品
412,StayReal,服飾等商品
413,台電,「工業用煤灰、石膏」及「配電、電力之管線輸送、能源分配；機械安裝修理、燃燒爐保養及修理、電力電纜安裝、電氣設備安裝修理；電子廣告看板出租，網路廣告看板出租；水力、火力及核能發電輸電配電技術之研發，為他人提供電力、能源技術之諮詢」等商品及服務
