id,famous_tname,gname
953,日盛,股票買賣業務之服務
954,日盛,股票買賣業務之服務
955,4Gdevice,香皂、香水、古龍水及淡香水、保養品、化妝品、人體用除臭劑、沐浴膠、洗髮精、沐浴鹽、潔膚霜、化妝水
956,4Gdevice,香皂、香水、古龍水及淡香水、保養品、化妝品、人體用除臭劑、沐浴膠、洗髮精、沐浴鹽、潔膚霜、化妝水
957,form-stripStripes,靴鞋等商品
958,FormstripDevice,靴鞋等商品
959,霍普金斯Hopkins,以醫學及生物科學聞名於國際
960,REEBOK,靴鞋、帽子、衣服等商品
961,茶裏王,茶葉、茶飲料商品
962,雙U或W外文,高爾夫球服飾及相關用品
963,呷七碗,油飯商品及相關餐飲服務
964,呷七碗,油飯商品及相關餐飲服務
965,呷七碗,油飯商品及相關餐飲服務
966,呷七碗,油飯商品及相關餐飲服務
967,M.U.SPORTS,高爾夫球服飾及相關用品
968,M.U.,高爾夫球服飾及相關用品
969,全聚德,「烤鴨」商品、「餐廳」服務
970,QuanJuDer,「烤鴨」商品、「餐廳」服務
971,QJD,「烤鴨」商品、「餐廳」服務
972,全聚德,「烤鴨」商品、「餐廳」服務
973,QuanJuDer,「烤鴨」商品、「餐廳」服務
974,QJD,「烤鴨」商品、「餐廳」服務
975,TTL,酒、食品、營養補充品、化粧品等商品
976,TTL台灣菸酒,酒、食品、營養補充品、化粧品等商品
977,TTL台酒生技,酒、食品、營養補充品、化粧品等商品
978,EINK,含有電泳顯示材料、電敏材料、或微機械裝置懸浮液之平板電子視覺顯示器（可改變顏色或光學特性以供使用於手持裝置、電子裝置、機械、看板、信用卡、紡織品、紙製品、橡膠製品、皮革製品、含金屬或塑膠製品、及其他可添加懸浮液之材料及物品）
979,EINK,用於可改變顏色或光學特性以供使用於視覺顯示器之含有電泳顯示材料、電敏材料或微機械裝置之懸浮液
980,AQUAGEN,人體用肥皂，香皂，香水，化妝品，清潔乳液，髮油，護髮劑，面霜，化𧬺水，化𧬺棉，潤膚油，香精油，洗髮精，潤髮乳，燙髮液，染髮劑，牙膏，按摩霜，去角質霜，敷面膜
981,PUCCI,衣服、服飾配件等相關商品
982,EMILIOPUCCI,衣服、服飾配件等相關商品
983,VOTIVO,香氛蠟燭、香氛噴霧、擴香瓶等香氛商品
984,VOTIVOV字雙箭頭,香氛蠟燭、香氛噴霧、擴香瓶等香氛商品
985,八方雲集,鍋貼水餃專賣店等相關服務
986,八方雲集,鍋貼水餃專賣店等相關服務
987,WHITTARD,茶葉、即溶茶包、茶具等商品
988,好市多,「綜合性商品零售」服務
989,ALEXANDERMcQUEEN,服飾商品、與服飾搭配之皮包、背包、行李箱等相關商品
990,F1,賽車比賽及包括相關活動之帽子、衣服、紀念幣、海報、卡片等商品
991,F1FORMULA1PLUSDEVICE,賽車比賽及包括相關活動之帽子、衣服、紀念幣、海報、卡片等商品
992,APPLE,電腦相關產品
993,APPLELogo,電腦相關產品
994,KUGA,汽車商品
995,4Gdevice,服裝、香水、彩妝、保養品、皮件、靴鞋等商品
996,4Gdevice,服裝、香水、彩妝、保養品、皮件、靴鞋等商品
997,KUGA,汽車商品
998,LOUISXIII,酒類商品
999,金門,各種酒類之「高粱酒」
1000,金門高粱酒,各種酒類之「高粱酒」
1001,OMEGA+Ω,鐘錶及電子影像計時器等商品
1002,OMEGA+Ω,鐘錶及電子影像計時器等商品
1003,媽媽嘴mommouth,咖啡等商品及餐飲等服務
1004,EVERLIGHT,LED燈等相關商品
1005,H2O,各種服飾及其配件等相關商品
1006,OK,便利商店、超級商店等服務
1007,CYTEC,化學原料、塑料及橡膠等商品
1008,QQ,即時通訊軟體等相關服務
1009,APPLE,電腦、電腦軟硬體及其相關產品與服務
1010,蘋果,電腦、電腦軟硬體及其相關產品與服務
1011,APPLELOGO,電腦、電腦軟硬體及其相關產品與服務
1012,日盛,股票買賣業務及證券商業務
1013,新日盛,股票買賣業務及證券商業務
1014,日盛,股票買賣業務及證券商業務
1015,新日盛,股票買賣業務及證券商業務
1016,Deviceincolor,瓦楞紙箱機械設備及其安裝維修服務
1017,LOUISXIII,酒類商品
1018,呷七碗,油飯商品及相關餐飲服務
1019,呷七碗,油飯商品及相關餐飲服務
1020,日盛,股票買賣業務及證券商業務
1021,新日盛,股票買賣業務及證券商業務
1022,日盛,股票買賣業務及證券商業務
1023,新日盛,股票買賣業務及證券商業務
1024,日盛,股票買賣業務及證券商業務
1025,新日盛,股票買賣業務及證券商業務
1026,日盛,股票買賣業務及證券商業務
1027,新日盛,股票買賣業務及證券商業務
1028,日盛,金融服務
1029,新日盛,金融服務
1030,媽媽嘴mommouth,咖啡等商品及餐飲服務
1031,媽媽嘴mommouth,咖啡等商品及餐飲服務
1032,SWATCH,鐘錶等商品
1033,鱷魚,運動休閒服飾等相關商品
1034,LACOSTE鱷魚,運動休閒服飾等相關商品
1035,Lacoste&DEVICE,運動休閒服飾等相關商品
1036,CROCODILEDESIGN,運動休閒服飾等相關商品
1037,CROCODILE&DEVICE,運動休閒服飾等相關商品
1038,多那之,咖啡、蛋糕、麵包等商品及咖啡廳服務等商品或服務
1039,日盛,股票買賣業務之服務
1040,新日盛,證券商業務
1041,F1PLUSDEVICE,舉辦賽車活動及促銷相關賽車活動等商品或服務
1042,雙C,各種靴鞋等商品
1043,HONDA,各種汽、機車及其零組件商品等
1044,Eta-com,電力傳導、轉換、蓄積或調節用裝置及儀器，即匯流排（條），包括鑄型樹脂絕緣匯流排（條），相隔離式匯流排（條），金屬封閉匯流排（條）
1045,富蘭克林,基金等金融商品之投資服務，暨其他財務與投資之管理、顧問、分析、資訊等服務
1046,KMC,自行車鏈條等商品
1047,LV,皮或仿製皮製成之封袋、皮夾、小錢包、鑰匙包、零錢及鑰匙包、名片皮夾等
1048,LV,珠寶飾品等
1049,MonogramCanvas,皮夾、零錢包、皮革製鑰匙包、珠寶、首飾、小飾物等
1050,黑熊,輪胎及相關商品
1051,台灣黑熊,輪胎及相關商品
1052,帝克TEAC,音響設備、黑膠唱盤等相關商品
1053,PRANA,戶外運動及瑜珈服飾/用品等商品
1054,TOTO,衛浴設備商品
1055,TIGER,萬金油、貼布等醫療保健商品
1056,虎體,萬金油、貼布等醫療保健商品
1057,虎標,萬金油、貼布等醫療保健商品
1058,APPLE,電腦軟硬體及其周邊設備等商品/服務
1059,APPLELOGO,電腦軟硬體及其周邊設備等商品/服務
1060,蘋果,電腦軟硬體及其周邊設備等商品/服務
1061,LOUISXIII,酒類商品
1062,路易十三,酒類商品
1063,大益,普洱茶等商品
1064,ADIDAS,各種衣服等商品
1065,美粒果,飲料類商品
1066,LOUISXIII,酒類等商品
1067,JADORE,香水、淡香水等商品
1068,JADORE,香水、淡香水等商品
1069,CAVES,書籍、雜誌、文獻等出版業務之相關服務，以及從英文書籍銷售到英文雜誌發行、英文教學等多元化經營服務
1070,敦煌CAVES,書籍、雜誌、文獻等出版業務之相關服務，以及從英文書籍銷售到英文雜誌發行、英文教學等多元化經營服務
1071,敦煌書局CAVESBOOKS,書籍、雜誌、文獻等出版業務之相關服務，以及從英文書籍銷售到英文雜誌發行、英文教學等多元化經營服務
1072,VALENTINO,衣服、冠帽、腰帶、皮包、手套、襪子等商品
1073,BUD,啤酒商品
1074,BUDWEISER,啤酒商品
1075,lecoqsportif&device,運動服等相關運動用品
1076,lecoqsportif及雞圖,運動服等相關運動用品
1077,來一客橫式,速食麵商品
1078,來一客直式,速食麵商品
1079,DesignFinaBox,社群網站服務
1080,FandDesignNew,社群網站服務
1081,APPLELOGO,電腦週邊產品、電腦軟體、網路、多媒體影音設備及其相關服務
1082,APPLE蘋果,電腦週邊產品、電腦軟體、網路、多媒體影音設備及其相關服務
1083,蘋果,電腦週邊產品、電腦軟體、網路、多媒體影音設備及其相關服務
1084,雙C,衣服
1085,APPLE蘋果,電腦週邊產品、電腦軟體、網路、多媒體影音設備及其相關服務
1086,APPLELOGO,電腦週邊產品、電腦軟體、網路、多媒體影音設備及其相關服務
1087,養樂多,食品、飲料等商品及相關服務
1088,9-SQUARECORPORATESYMBOL,寵物食品等商品
1089,PURINA&9-squarecheckerboardcol,寵物食品等商品
1090,寵優PURINAPURINA&9-squarecheckerboard&CHONGYOUinT.Chinesemean.petcaringpremiumcol,寵物食品等商品
1091,9-SQUARECORPORATESYMBOL,寵物食品等商品
1092,PURINA&9-squarecheckerboardcol,寵物食品等商品
1093,寵優PURINAPURINA&9-squarecheckerboard&CHONGYOUinT.Chinesemean.petcaringpremiumcol,寵物食品等商品
1094,9-SQUARECORPORATESYMBOL,寵物食品等商品
1095,PURINA&9-squarecheckerboardcol,寵物食品等商品
1096,寵優PURINAPURINA&9-squarecheckerboard&CHONGYOUinT.Chinesemean.petcaringpremiumcol,寵物食品等商品
1097,9-SQUARECORPORATESYMBOL,寵物食品等商品
1098,PURINA&9-squarecheckerboardcol,寵物食品等商品
1099,寵優PURINAPURINA&9-squarecheckerboard&CHONGYOUinT.Chinesemean.petcaringpremiumcol,寵物食品等商品
1100,SEIKO,鐘錶、計時儀器等相關商品
1101,ABSOLUT,烈酒類商品
1102,全聯,提供綜合性商品零售
1103,聯社,提供綜合性商品零售
1104,全聯福利中心,提供綜合性商品零售
1105,7-Eleven&Design+StripesDesignincolor,網路購物及多樣化商品零售等服務
1106,7NET,網路購物及多樣化商品零售等服務
1107,台灣啤酒TAIWANBEER,啤酒相關商品及服務
1108,台灣啤酒,啤酒相關商品及服務
1109,臺灣啤酒,啤酒相關商品及服務
1110,台灣啤酒TAIWANBEER,啤酒相關商品及服務
1111,台灣啤酒,啤酒相關商品及服務
1112,臺灣啤酒,啤酒相關商品及服務
1113,度小月,餐飲服務
1114,GUCCI,各種衣服、（票券用）皮夾、手提（箱）袋等商品
1115,LV,皮夾、（長）圍巾、小錢皮等商品
1116,KNOT,皮夾、手提（箱）袋等商品
1117,CHANEL,皮夾、錢包、圍巾、各種衣服等商品
1118,MICHAELKORS,手提袋商品
1119,HERMES,手提(箱)袋商品
1120,BURBERRY,圍巾、衣服等商品
1121,KENZO,近似於圍巾之斗篷商品
1122,GUCCI,各種衣服、（票券用）皮夾、手提（箱）袋等商品
1123,BOTTEGAVENETA,皮夾商品
1124,MICHAELKORS,手提袋商品
1125,HERMES,手提(箱)袋商品
1126,adidas,服飾商品
1127,TOTALPANEL紅色,工業用油品或相關周邊商品
1128,TOTAL+LogoEnergieincolours,工業用油品或相關周邊商品
1129,104,職業介紹、人力資源等服務
1130,LogoEnergiemonochrom,工業用油品或相關周邊商品
1131,TOTAL+LogoEnergieincolours,工業用油品或相關周邊商品
1132,MOTOREX,潤滑油、機油等油品商品
1133,GOODARCH,足弓矯正器鞋組及鞋墊等商品
1134,GoodARCH,足弓矯正器鞋組及鞋墊等商品
1135,GoodARCH,足弓矯正器鞋組及鞋墊等商品
1136,LINE,即時通訊軟體等相關商品或服務
1137,STARWORLD,電視播送、表演節目製作等影視娛樂服務
1138,STARwithCroppedBoxLogo,電視播送、表演節目製作等影視娛樂服務
1139,StarTV＆LOGO,電視播送、表演節目製作等影視娛樂服務
1140,STAR&Logo,電視播送、表演節目製作等影視娛樂服務
1141,STARMOVIESLOGO,電視播送、表演節目製作等影視娛樂服務
1142,STARLogo,電視播送、表演節目製作等影視娛樂服務
1143,STAR&Logo,電視播送、表演節目製作等影視娛樂服務
1144,CroppedBoxLogo,電視播送、表演節目製作等影視娛樂服務
1145,STARwithCroppedBoxLogo,電視播送、表演節目製作等影視娛樂服務
1146,STARMOVIESLOGO,電視播送、表演節目製作等影視娛樂服務
1147,VANS,鞋子等商品
1148,NuBra,胸罩，睡衣褲，罩杯，胸罩襯墊，背心，毛衣，襯衫，Ｔ恤，內衣褲，泳裝，西裝，禮服，休閒服，大衣，外套，披肩，運動服，新娘服，女裝，婚紗
1149,NuBra,胸罩，睡衣褲，罩杯，胸罩襯墊，背心，毛衣，襯衫，Ｔ恤，內衣褲，泳裝，西裝，禮服，休閒服，大衣，外套，披肩，運動服，新娘服，女裝，婚紗
1150,NuBra,胸罩，睡衣褲，罩杯，胸罩襯墊，背心，毛衣，襯衫，Ｔ恤，內衣褲，泳裝，西裝，禮服，休閒服，大衣，外套，披肩，運動服，新娘服，女裝，婚紗
1151,NuBra,胸罩，睡衣褲，罩杯，胸罩襯墊，背心，毛衣，襯衫，Ｔ恤，內衣褲，泳裝，西裝，禮服，休閒服，大衣，外套，披肩，運動服，新娘服，女裝，婚紗
1152,RAVAGLIOLI,特殊汽車維修領域
1153,RAVAGLIOLI,特殊汽車維修領域
1154,R,特殊汽車維修領域
1155,R+RAV,特殊汽車維修領域
1156,TEXASRANGERS,電視播送、表演節目製作等影視娛樂服務
1157,ROLEX,鐘錶、珠寶等商品
1158,STARLogo,電視播送、表演節目製作等影視娛樂服務
1159,STAR&Logo,電視播送、表演節目製作等影視娛樂服務
1160,CroppedBoxLogo,電視播送、表演節目製作等影視娛樂服務
1161,STARwithCroppedBoxLogo,電視播送、表演節目製作等影視娛樂服務
1162,STARMOVIESLOGO,電視播送、表演節目製作等影視娛樂服務
1163,STARLogo,電視播送、表演節目製作等影視娛樂服務
1164,STAR&Logo,電視播送、表演節目製作等影視娛樂服務
1165,CroppedBoxLogo,電視播送、表演節目製作等影視娛樂服務
1166,STARwithCroppedBoxLogo,電視播送、表演節目製作等影視娛樂服務
1167,STARMOVIESLOGO,電視播送、表演節目製作等影視娛樂服務
1168,RIMOWA,行李箱等商品
1169,APPLELOGO,電腦週邊設備、手機、電器等相關商品或服務
1170,BOSS,旅行袋、皮夾、皮革、手提箱、眼鏡、衣服、靴鞋等商品
1171,HUGOBOSS,旅行袋、皮夾、皮革、手提箱、眼鏡、衣服、靴鞋等商品
1172,賓士BENZ,於汽車相關領域之商品及服務
1173,TOTORO&DEVICE,各種常見卡通授權商品或服務
1174,度小月,餐飲服務
1175,樂子theDiner,提供餐飲服務或相關商品
1176,樂子thediner,提供餐飲服務或相關商品
1177,樂子theDiner,提供餐飲服務或相關商品
1178,樂子thediner,提供餐飲服務或相關商品
1179,御茶園,茶飲料等相關商品
1180,御茶園,茶飲料等相關商品
1181,御茶園,茶飲料等相關商品
1182,御茶園,茶飲料等相關商品
1183,DIOR,女裝、男裝、首飾、香水、化妝品，童裝等高檔消費品
1184,LOUISVUITTON,手提包等
1185,LOUISVUITTON,衣服、帽子等
1186,LOUISVUITTON,手錶等
1187,LV,手提包等
1188,LVlogofigurative,衣服、皮帶、帽子等
1189,LVDEVICE,絲巾等
1190,LVDEVICE,手錶等
1191,MonogramCanvas,手錶、手提包、衣服、皮帶、帽子等
1192,FLEURdansunlosangefig.,皮夾、衣服等
1193,FLEURdansuncerclefigurativeannexed,錶等
1194,FLEURfigurativeannexed,錶等
1195,TOILEDAMIERencouleur+denofig,手提袋、皮夾等
1196,TOILEDAMIERencouleurfig,衣服、腰帶、帽子等
1197,TOILEDAMIERfig.,手提袋等
1198,帝寶DEPO,車燈，霧燈，剎車燈，倒車燈，車輛之前燈，車輛之後燈，車輛之邊燈，車輛方向指示燈，汽車方向燈，汽車用照明燈，汽車用燈泡
1199,DEPO,車燈
1200,DEPO光形,車燈、霧燈、剎車燈、倒車燈、車輛之前燈、車輛之後燈、車輛之邊燈、方向指示燈、緊急剎車警示燈、自行車摩電燈、停止指示燈、車輛用反光鏡、車輛燈具遮光裝置、車輛燈具防目眩裝置、汽車、機車、方向盤、緩衝器、制動器、離合器、後視鏡、擋泥板、排氣管、化油器、齒輪箱、傳動軸、水箱蓋、擾流板、保險桿、葉子板、車輛馬達、汽車外殼、水箱、儀錶板
1201,帝寶DEPO,車燈，霧燈，剎車燈，倒車燈，車輛之前燈，車輛之後燈，車輛之邊燈，車輛方向指示燈，汽車方向燈，汽車用照明燈，汽車用燈泡
1202,DEPO,車燈
1203,DEPO光形,車燈、霧燈、剎車燈、倒車燈、車輛之前燈、車輛之後燈、車輛之邊燈、方向指示燈、緊急剎車警示燈、自行車摩電燈、停止指示燈、車輛用反光鏡、車輛燈具遮光裝置、車輛燈具防目眩裝置、汽車、機車、方向盤、緩衝器、制動器、離合器、後視鏡、擋泥板、排氣管、化油器、齒輪箱、傳動軸、水箱蓋、擾流板、保險桿、葉子板、車輛馬達、汽車外殼、水箱、儀錶板
1204,AMERICANSNEXTTOPMODEL,選秀節目等時尚相關聯之商品及服務
1205,OXFORD,學術教育領域及相關之書籍等商品出版服務
1206,牛津,學術教育領域及相關之書籍等商品出版服務
1207,靜思語,書籍、卡片、線上電子書籍及期刊之出版、教育服務、舉辦文化活動等商品/服務
1208,SINKO,空調機器設備、冷(熱)回收機組等相關商品
1209,霍普金斯Hopkins,以醫學及生物科學聞名於國際
1210,台北101,百貨公司、電信網路傳輸、經營摩天樓之景觀供人望觀光業務、影片唱片錄音帶錄影片碟影片伴唱帶等製作及發行等相關服務
1211,TAIPEI101,百貨公司、電信網路傳輸、經營摩天樓之景觀供人望觀光業務、影片唱片錄音帶錄影片碟影片伴唱帶等製作及發行等相關服務
1212,101,百貨公司、電信網路傳輸、經營摩天樓之景觀供人望觀光業務、影片唱片錄音帶錄影片碟影片伴唱帶等製作及發行等相關服務
1213,UNITEDCOLORSOFBENETTON,服飾商品
1214,UNITEDCOLORSOFBENETTONinagreenrectangleontheleft,服飾商品
1215,BENETTONBenetton,服飾商品
1216,gudetama,各種行動電話外殼等商品
1217,台北101,廣告宣傳、百貨公司及購物中心等相關服務
1218,TAIPEI101,廣告宣傳、百貨公司及購物中心等相關服務
1219,101,廣告宣傳、百貨公司及購物中心等相關服務
1220,BOTOX,化妝品，含藥化妝品
1221,BOTOX,治療神經疾病，肌張力障礙，平滑肌疾病，自主神經疾病，頭痛，皺紋，多汗症，運動傷害，腦麻痺，痙攣，顫抖及疼痛用藥劑
1222,BOTOX&SWOOSH,治療神經疾病，肌張力障礙，平滑肌疾病，自主神經疾病，頭痛，皺紋，多汗症，運動傷害，腦麻痺，痙攣，顫抖及疼痛用藥劑
1223,ALLERGANBOTOX,治療神經失調及肌肉緊繃用藥品，眼部肌肉鬆弛劑，中西藥品、藥劑、人體用藥
1224,ITSNOTMAGICITSBOTOX,治療神經疾病，肌張力障礙，平滑肌疾病，自主神經疾病，頭痛，皺紋，多汗症，運動傷害，腦麻痺，痙攣，顫抖及疼痛用藥劑
1225,MOTOREX,潤滑油、機油等油品商品
1226,LV,手提包
1227,adidas+3stripesdevice,衣服、運動用品、提袋、冠帽、手套、靴鞋、運動用眼鏡等商品
1228,將門JUMP,襪子、褲襪、各種衣服、書包、手提箱袋、旅行袋、皮夾、各式鞋類等商品
1229,將門,襪子、褲襪、各種衣服、書包、手提箱袋、旅行袋、皮夾、各式鞋類等商品
1230,將門JUMP,襪子、褲襪、各種衣服、書包、手提箱袋、旅行袋、皮夾、各式鞋類等商品
1231,將盟JUMP,襪子、褲襪、各種衣服、書包、手提箱袋、旅行袋、皮夾、各式鞋類等商品
1232,將門JUMP,襪子、褲襪、各種衣服、書包、手提箱袋、旅行袋、皮夾、各式鞋類等商品
1233,將門JUMP,靴鞋商品
1234,JUMP,靴鞋商品
1235,三斜線加上圓點,靴鞋商品
1236,三斜線加上圓點JUMP,靴鞋商品
1237,三斜線原點,鞋類商品
1238,將門JUMP,襪子、褲襪
1239,將門,各種衣服
1240,將門JUMP,書包、手提箱袋、旅行袋、皮夾
1241,將盟JUMP,靴鞋、鞋子、涼鞋、拖鞋、雨鞋、布鞋、球鞋、皮鞋、膠鞋、跑鞋、馬靴、舞鞋、草鞋、木屐、高跟鞋、運動鞋、登山鞋、滑雪靴、田徑鞋、休閒鞋、海灘鞋、女鞋、童鞋、工礦鞋、鞋底、鞋墊、鞋襯、鞋面、鞋跟、鞋幫、鞋尖、鞋舌、鞋弓、鞋中底、鞋套、釘鞋
1242,將門JUMP,靴鞋
1243,JUMP,男鞋、女鞋、休閒鞋、運動鞋、童鞋、涼鞋
1244,將門Jump,眼鏡、眼鏡框、眼鏡架、眼鏡套、眼鏡鍊、夾鼻眼鏡、太陽眼鏡、近視眼鏡、遠視眼鏡、散光眼鏡、平光眼鏡、光學鏡、眼鏡掛帶、眼鏡止滑墊片
1245,JUMP,衣服、靴、鞋、領帶、冠帽、襪子、服飾用禦寒用手套、腰帶
1246,將門JUMP,襪子、褲襪
1247,將門,各種衣服
1248,將門JUMP,書包、手提箱袋、旅行袋、皮夾
1249,將盟JUMP,靴鞋、鞋子、涼鞋、拖鞋、雨鞋、布鞋、球鞋、皮鞋、膠鞋、跑鞋、馬靴、舞鞋、草鞋、木屐、高跟鞋、運動鞋、登山鞋、滑雪靴、田徑鞋、休閒鞋、海灘鞋、女鞋、童鞋、工礦鞋、鞋底、鞋墊、鞋襯、鞋面、鞋跟、鞋幫、鞋尖、鞋舌、鞋弓、鞋中底、鞋套、釘鞋
1250,將門JUMP,靴鞋
1251,JUMP,男鞋、女鞋、休閒鞋、運動鞋、童鞋、涼鞋
1252,靜思語,書籍、卡片、線上電子書籍及期刊之出版、教育服務、舉辦文化活動等商品/服務
1253,鮮一杯OneFreshCup,咖啡、奶茶、可可、咖啡製成之飲料、茶包等商品
1254,鮮一杯OneFreshCup,咖啡、奶茶、可可、咖啡製成之飲料、茶包等商品
1255,史瑞克Shrek,電腦動畫影片
1256,樂子theDiner,提供餐飲服務或相關商品
1257,樂子thediner,提供餐飲服務或相關商品
1258,TAIPEI101,百貨公司及購物中心等服務
1259,台北101,百貨公司及購物中心等服務
1260,TAIPEI101,百貨公司及購物中心等相關服務
1261,台北101,百貨公司及購物中心等相關服務
1262,N次貼,便條、便箋、貼紙、膠紙、膠帶、自黏性標籤、紙製公佈欄、索引卡、書籤、塑膠卡片
1263,TAIPEI101,百貨公司及購物中心等相關服務
1264,台北101,百貨公司及購物中心等相關服務
1265,VLogo,衣服、冠帽、領帶、拉鍊、皮件、旅行袋、傘具、床墊、枕、蓆、窗簾、傢俱、餐具、眼鏡、鐘錶及化粧品等商品
1266,VLogo,衣服、冠帽、領帶、拉鍊、皮件、旅行袋、傘具、床墊、枕、蓆、窗簾、傢俱、餐具、眼鏡、鐘錶及化粧品等商品
1267,MonogramDoubleCDivice,香水、化妝品、服飾、皮件、太陽眼鏡、靴鞋、珠寶首飾等產品
1268,MonogramDoubleCDivice,香水、化妝品、服飾、皮件、太陽眼鏡、靴鞋、珠寶首飾等產品
1269,DowntonAbbey,電視節目製作及播送等相關商品或服務
1270,唐頓莊園,電視節目製作及播送等相關商品或服務
1271,康寧,液晶電視使用的玻璃基板等商品
1272,康寧,液晶電視使用的玻璃基板等商品
1273,SFandPRANCINGHORSE,跑車、賽車等相關商品
1274,FERRARIandPRANCINGHORSE,跑車、賽車等相關商品
1275,PRANCINGHORSEDevice,跑車、賽車等相關商品
1276,Hlogoinblackandwhite,飯店服務
1277,H[LOGO]WITHHOLIDAYINNEXPRESSINCHINESECHARACTERS,飯店服務
1278,HOLIDAYINN,飯店服務
1279,HOLIDAYINN,飯店服務
1280,HOLIDAYINNEXPRESSLOGO,飯店服務
1281,假日飯店HOLIDAYINNPRONOUNCEDJIARIFANDIAN,飯店服務
1282,麗娜RENOWNレナウン,服裝、襪子等商品
1283,PlusDesign,銀飾、珠寶、衣服及帽子等商品
1284,史瑞克Shrek,電腦動畫影片
1285,GUCCI,香水、面霜、化妝品、衣服、冠帽、領帶、皮包、皮夾、服飾用皮帶、靴鞋、手錶、傘等商品以及香水、化粧品、衣服、鞋、帽及其配件、眼鏡、皮件、袋子、錶、珠寶、文具及書寫用具之批發零售服務；百貨公司、購物中心、郵購；藉由型錄、電子媒體或網際網路提供香水、化粧品、衣服、鞋、帽及其配件、眼鏡、皮件、袋子、錶、珠寶、文具及書寫用具之批發零售服務
1286,台大,學術教育、農業教育、醫學研究及開發農產品等相關商品/服務
1287,臺大,學術教育、農業教育、醫學研究及開發農產品等相關商品/服務
1288,台大TAIDA,學術教育、農業教育、醫學研究及開發農產品等相關商品/服務
1289,FEDEX,快遞服務、提供貨物、文件、包裹之陸運、空運、倉儲等服務
1290,FAIRYTAIL,書籍商品
1291,FAIRYTAIL,書籍商品
1292,魔導少年,書籍商品
1293,APPLE,電腦軟硬體及其周邊設備等商品/服務
1294,APPLELOGO,電腦軟硬體及其周邊設備等商品/服務
1295,蘋果,電腦軟硬體及其周邊設備等商品/服務
1296,APPLE,電腦軟硬體及其周邊設備等商品/服務
1297,APPLELOGO,電腦軟硬體及其周邊設備等商品/服務
1298,蘋果,電腦軟硬體及其周邊設備等商品/服務
1299,CROWNTOWERS,飯店、休閒娛樂等服務
1300,CROWN,飯店、休閒娛樂等服務
1301,CROWNDevice,飯店、休閒娛樂等服務
1302,CROWNTOWERS,飯店、休閒娛樂等服務
1303,CROWN,飯店、休閒娛樂等服務
1304,CROWNDevice,飯店、休閒娛樂等服務
1305,HelloKitty凱蒂貓,匙、筷、貼紙、手提包、商標吊牌等商品
1306,Rilakkuma拉拉熊,匙、筷、貼紙、手提包、商標吊牌等商品
1307,Doraemon哆拉A夢,匙、筷、貼紙、手提包、商標吊牌等商品
1308,MILKA,巧克力商品
1309,GS,電池、蓄電池等商品
1310,GSLogo,電池、蓄電池等商品
1311,GS&Device,電池、蓄電池等商品
1312,BOSS,旅行袋、皮夾、皮革、手提箱、鐘錶、眼鏡、衣服、冠帽、靴鞋等商品
1313,FAIRYTAIL,書籍商品
1314,FAIRYTAIL,書籍商品
1315,魔導少年,書籍商品
1316,MEISSEN,瓷器等商品
1317,MEISSEN,瓷器等商品
1318,香奈兒,化粧品之零售服務
1319,香奈兒,化粧品，人體用肥皂，非人體用肥皂，香精油，香水，香料，髮乳，潔齒劑
1320,CHANEL,各種香水古龍香水及其他應屬本類之一切商品
1321,CHANEL,各種香皂
1322,CHANEL,各種護膚保養品
1323,CHANEL,各種化妝品，包括香水、蜜粉等
1324,CCMONOGRAMINCIRCLE,各種化妝品，包括香水
1325,香奈兒,各種肥皂、香皂、藥皂、洗衣洗髮粉及其他清潔劑
1326,香芮CHANEL&DEVICE,香水、香精
1327,RAY-BAN,眼鏡、鐘錶
1328,RAY-BAN,眼鏡、鐘錶
1329,諾得,胃腸藥等西藥商品及其相關服務
1330,諾得HCNORITLE,胃腸藥等西藥商品及其相關服務
1331,八方雲集,鍋貼、水餃等商品及鍋貼水餃專賣店等相關服務
1332,EVERLIGHT,LED燈等相關產品
1333,adidas,服飾商品
1334,PUMA,服飾商品
1335,CUIREPIfigurative,皮革及人造皮；旅行袋，行李箱，旅行用皮夾，旅行用皮件，皮箱，手提行李箱，保護衣服用之攜帶提袋，不含化粧用品之化粧箱，背囊，附肩袋之女用手提包，手提袋，公事箱，公事包，錢囊，口袋型皮夾，小錢包，鑰匙包，信用卡用皮夾，支票簿用皮夾，支票簿皮夾，手拿式文件包，雨傘
1336,CATandDesignsharkfin,移土、整土及原料處理用機械，即，鋤耕機裝載機、多功能輪式裝載機、履帶挖土機、輪式挖土機、挖土機、可伸縮式原料搬運機、履帶原料搬運機、輪式原料搬運機、多功能林木機、履帶拖木機、輪式拖木機、履帶伐木捆木機、輪式伐木捆木機、輸送機、履帶收割機、關節式吊桿裝載機、地下採礦裝載機；有關上述機械之配備，即，鋤耕機及原料處理臂
